Record_ID,Date_Time,Terminal,Process_Type,Queue_Length,Wait_Time_Minutes,Staff_Count,Throughput_Rate,Peak_Indicator,Special_Events,Passenger_Type,Processing_Duration,Synthetic_Data
PF043,2024-03-18 12:26:03,2E,Immigration_NonEU,1,0,3,77,Normal,Normal,VIP,342,False
PF044,2024-03-19 23:03:43,2C,Immigration_EU,23,16,3,99,Night,Normal,VIP,301,False
PF045,2024-03-17 04:27:51,3,Security,34,17,3,75,Night,Normal,Crew,42,False
PF046,2024-03-15 05:50:02,1,Customs,59,33,1,94,Morning_Rush,Normal,Transit,82,False
PF047,2024-03-15 21:39:10,2B,Customs,39,21,4,231,Night,Normal,VIP,92,False
PF048,2024-03-15 14:03:37,3,Security,22,18,7,76,Normal,Strike,Transit,54,False
PF049,2024-03-16 05:50:50,2A,Customs,62,23,4,129,Morning_Rush,Strike,Non_EU,96,False
PF050,2024-03-17 22:06:33,2C,Baggage_Claim,34,24,3,139,Night,Normal,Crew,154,False
PF051,2024-03-19 07:43:07,2F,Baggage_Claim,90,31,2,156,Morning_Rush,Normal,Non_EU,150,False
PF052,2024-03-20 07:19:24,1,Immigration_EU,94,38,2,65,Morning_Rush,Normal,VIP,121,False
PF053,2024-03-19 06:55:40,1,Immigration_EU,109,41,4,60,Morning_Rush,Normal,Transit,221,False
PF054,2024-03-20 03:35:50,2A,Immigration_NonEU,30,19,4,40,Night,Normal,Non_EU,98,False
PF055,2024-03-16 06:31:16,2B,Security,76,38,4,114,Morning_Rush,System_Down,VIP,35,False
PF056,2024-03-15 18:30:19,3,Immigration_EU,25,13,2,72,Evening_Peak,Normal,VIP,215,False
PF057,2024-03-19 13:25:20,2A,Immigration_NonEU,36,22,2,66,Normal,Normal,Crew,314,False
PF058,2024-03-15 15:56:36,2F,Security,34,25,2,100,Normal,Normal,VIP,106,False
PF059,2024-03-20 01:48:32,2A,Security,35,13,2,81,Night,VIP_Movement,Crew,107,False
PF060,2024-03-18 11:48:43,1,Baggage_Claim,36,22,4,151,Normal,Normal,Transit,65,False
PF061,2024-03-21 22:43:00,1,Customs,33,21,4,180,Night,Normal,VIP,130,False
PF062,2024-03-20 21:03:52,2E,Immigration_EU,20,17,3,82,Night,Normal,VIP,212,False
PF063,2024-03-21 00:00:05,2C,Immigration_EU,9,8,1,90,Night,Normal,Crew,292,False
PF064,2024-03-17 10:03:17,2D,Customs,32,12,1,159,Normal,Normal,Non_EU,156,False
PF065,2024-03-19 02:59:26,2A,Immigration_NonEU,11,14,2,61,Night,Normal,Crew,243,False
PF066,2024-03-16 21:17:25,1,Immigration_NonEU,35,13,3,61,Night,Normal,VIP,245,False
PF067,2024-03-16 01:09:04,2C,Customs,28,21,3,179,Night,Normal,Non_EU,124,False
PF068,2024-03-18 19:45:51,2B,Customs,82,30,2,207,Evening_Peak,Normal,Crew,102,False
PF069,2024-03-17 09:44:09,3,Baggage_Claim,33,24,3,201,Normal,Normal,Crew,62,False
PF070,2024-03-21 11:02:47,2D,Immigration_EU,31,12,2,68,Normal,Normal,Transit,199,False
PF071,2024-03-21 09:01:47,2D,Customs,15,12,1,105,Normal,Normal,Crew,53,False
PF072,2024-03-20 11:17:02,2A,Security,15,9,7,94,Normal,Normal,VIP,107,False
PF073,2024-03-17 00:17:45,2C,Security,8,13,3,89,Night,Strike,Crew,47,False
PF074,2024-03-16 22:39:57,2B,Customs,14,7,2,226,Night,Normal,Transit,158,False
PF075,2024-03-18 05:34:56,1,Baggage_Claim,80,35,3,197,Morning_Rush,Normal,Non_EU,58,False
PF076,2024-03-15 04:30:40,2E,Immigration_NonEU,24,21,2,90,Night,Normal,Non_EU,272,False
PF077,2024-03-19 01:28:49,2B,Baggage_Claim,5,2,4,120,Night,Normal,EU_Citizen,45,False
PF078,2024-03-20 10:42:55,2E,Immigration_EU,1,2,1,47,Normal,Normal,Transit,174,False
PF079,2024-03-19 06:13:29,1,Baggage_Claim,32,10,3,213,Morning_Rush,Normal,VIP,161,False
PF080,2024-03-18 21:54:02,2F,Immigration_EU,5,6,2,75,Night,Normal,VIP,269,False
PF081,2024-03-16 08:16:18,2A,Immigration_EU,53,17,4,52,Morning_Rush,Normal,Crew,95,False
PF082,2024-03-19 16:53:26,1,Baggage_Claim,116,40,2,221,Evening_Peak,Normal,Transit,141,False
PF083,2024-03-16 14:25:06,1,Immigration_EU,37,15,2,47,Normal,Normal,VIP,297,False
PF084,2024-03-19 17:46:23,2E,Immigration_NonEU,101,35,3,69,Evening_Peak,Normal,Transit,135,False
PF085,2024-03-15 00:16:05,1,Security,13,8,3,97,Night,Normal,Crew,83,False
PF086,2024-03-18 04:13:57,2A,Immigration_EU,12,11,1,56,Night,Normal,Transit,165,False
PF087,2024-03-15 16:17:05,2B,Immigration_EU,37,16,1,91,Evening_Peak,Normal,Non_EU,105,False
PF088,2024-03-21 18:47:34,2A,Immigration_NonEU,50,29,1,67,Evening_Peak,Normal,Crew,295,False
PF089,2024-03-15 00:22:56,2C,Baggage_Claim,23,17,1,140,Night,Normal,Transit,160,False
PF090,2024-03-17 11:15:54,1,Immigration_NonEU,17,17,1,56,Normal,Normal,Transit,143,False
PF091,2024-03-21 16:14:44,2B,Customs,110,38,4,87,Evening_Peak,Normal,VIP,143,False
PF092,2024-03-20 22:47:50,2A,Immigration_NonEU,32,12,1,95,Night,Normal,EU_Citizen,79,False
PF093,2024-03-17 13:55:14,2B,Baggage_Claim,0,4,4,190,Normal,Normal,EU_Citizen,102,False
PF094,2024-03-14 23:56:54,2B,Customs,9,14,3,232,Night,Normal,Transit,109,False
PF095,2024-03-21 12:42:04,1,Baggage_Claim,38,17,3,218,Normal,Normal,VIP,126,False
PF096,2024-03-15 03:16:22,1,Customs,7,11,2,131,Night,Normal,Transit,46,False
PF097,2024-03-16 10:37:32,3,Immigration_NonEU,37,15,3,67,Normal,Normal,Non_EU,137,False
PF098,2024-03-21 12:25:15,2C,Baggage_Claim,26,21,4,130,Normal,Normal,VIP,77,False
PF099,2024-03-17 18:57:13,2B,Customs,101,47,3,232,Evening_Peak,Normal,Non_EU,82,False
PF100,2024-03-21 20:18:48,2A,Customs,44,19,3,218,Evening_Peak,Strike,Non_EU,59,False
PF101,2024-03-21 17:54:35,1,Security,51,21,2,134,Evening_Peak,Normal,Transit,69,False
PF102,2024-03-21 13:47:37,2B,Baggage_Claim,8,9,1,106,Normal,Normal,Transit,161,False
PF103,2024-03-15 16:08:01,1,Security,106,43,3,121,Evening_Peak,Normal,VIP,30,False
PF104,2024-03-21 08:32:58,2D,Immigration_EU,78,39,3,89,Morning_Rush,Normal,VIP,86,False
PF105,2024-03-19 21:14:13,3,Customs,13,10,4,176,Night,Normal,Crew,128,False
PF106,2024-03-20 02:59:44,2A,Baggage_Claim,24,17,2,232,Night,Normal,Transit,136,False
PF107,2024-03-17 19:52:55,1,Customs,72,25,3,187,Evening_Peak,Normal,VIP,83,False
PF108,2024-03-17 17:14:07,1,Baggage_Claim,86,42,4,110,Evening_Peak,Normal,EU_Citizen,126,False
PF109,2024-03-15 00:58:05,2C,Immigration_NonEU,25,20,2,79,Night,Normal,Non_EU,194,False
PF110,2024-03-21 12:50:35,2E,Immigration_NonEU,33,19,2,98,Normal,Normal,Transit,182,False
PF111,2024-03-19 19:14:20,2F,Immigration_EU,99,45,4,40,Evening_Peak,Normal,Crew,150,False
PF112,2024-03-21 14:51:19,2E,Immigration_EU,33,22,3,74,Normal,Normal,Crew,210,False
PF113,2024-03-21 08:31:08,2A,Security,72,32,7,62,Morning_Rush,Normal,Crew,113,False
PF114,2024-03-19 03:36:57,2E,Baggage_Claim,3,1,1,100,Night,VIP_Movement,Crew,155,False
PF115,2024-03-20 02:03:48,2F,Customs,13,13,3,142,Night,Normal,Non_EU,72,False
PF116,2024-03-20 00:19:37,2E,Baggage_Claim,37,20,4,101,Night,VIP_Movement,VIP,71,False
PF117,2024-03-18 06:27:09,2E,Immigration_EU,111,47,2,47,Morning_Rush,Normal,VIP,293,False
PF118,2024-03-19 04:53:52,2A,Immigration_NonEU,24,9,2,67,Night,Normal,Non_EU,271,False
PF119,2024-03-19 23:44:42,2C,Baggage_Claim,27,23,3,159,Night,Normal,EU_Citizen,141,False
PF120,2024-03-19 13:23:10,3,Security,13,15,4,115,Normal,Normal,Crew,30,False
PF121,2024-03-18 02:55:06,2D,Immigration_NonEU,33,24,3,55,Night,Normal,EU_Citizen,176,False
PF122,2024-03-21 13:22:01,2F,Immigration_NonEU,11,10,4,80,Normal,Normal,VIP,218,False
PF123,2024-03-15 16:31:38,3,Immigration_EU,99,47,4,79,Evening_Peak,Normal,VIP,64,False
PF124,2024-03-20 08:21:48,2C,Immigration_EU,86,31,3,78,Morning_Rush,Normal,Non_EU,130,False
PF125,2024-03-15 08:52:21,3,Immigration_EU,87,34,4,86,Morning_Rush,System_Down,Transit,183,False
PF126,2024-03-17 01:45:19,1,Immigration_EU,6,4,2,77,Night,Normal,Non_EU,252,False
PF127,2024-03-18 17:51:15,2E,Baggage_Claim,97,45,1,97,Evening_Peak,Normal,Crew,103,False
PF128,2024-03-20 23:09:10,3,Immigration_EU,33,18,4,95,Night,Normal,Transit,332,False
PF129,2024-03-15 05:52:39,2B,Immigration_EU,78,38,4,60,Morning_Rush,Normal,Non_EU,296,False
PF130,2024-03-20 06:21:55,2F,Baggage_Claim,79,35,3,109,Morning_Rush,Normal,Crew,89,False
PF131,2024-03-17 16:29:58,2B,Immigration_EU,92,37,4,81,Evening_Peak,Normal,Non_EU,98,False
PF132,2024-03-15 10:24:42,3,Customs,27,23,3,178,Normal,Normal,VIP,125,False
PF133,2024-03-15 18:31:00,3,Immigration_EU,54,20,1,90,Evening_Peak,Normal,VIP,236,False
PF134,2024-03-15 20:45:47,2E,Immigration_EU,77,30,4,75,Evening_Peak,Normal,Non_EU,76,False
PF135,2024-03-16 23:59:53,2C,Security,22,12,3,64,Night,Normal,VIP,57,False
PF136,2024-03-17 23:53:16,2C,Security,31,24,2,123,Night,Normal,Non_EU,42,False
PF137,2024-03-18 20:04:18,2F,Customs,111,49,3,172,Evening_Peak,Normal,Transit,46,False
PF138,2024-03-21 02:14:17,3,Customs,25,10,3,84,Night,Normal,EU_Citizen,138,False
PF139,2024-03-17 15:14:05,2A,Customs,32,18,1,169,Normal,Emergency,Transit,101,False
PF140,2024-03-17 11:23:26,2E,Baggage_Claim,13,16,2,179,Normal,Normal,EU_Citizen,108,False
PF141,2024-03-18 03:38:59,2D,Immigration_NonEU,38,26,1,50,Night,Normal,Crew,353,False
PF142,2024-03-16 15:18:52,2C,Baggage_Claim,35,19,4,233,Normal,Normal,VIP,148,False
PF143,2024-03-17 01:36:17,2E,Immigration_EU,23,9,2,69,Night,Normal,Transit,85,False
PF144,2024-03-18 18:29:42,2F,Immigration_NonEU,91,39,4,65,Evening_Peak,Normal,Crew,72,False
PF145,2024-03-21 12:46:18,2B,Security,17,7,2,78,Normal,Normal,Crew,65,False
PF146,2024-03-20 01:07:04,2E,Baggage_Claim,38,26,1,168,Night,Normal,EU_Citizen,59,False
PF147,2024-03-16 14:26:05,2F,Security,15,18,6,104,Normal,Normal,EU_Citizen,34,False
PF148,2024-03-16 07:00:36,2D,Security,30,22,7,64,Morning_Rush,Normal,Non_EU,89,False
PF149,2024-03-19 14:40:57,2E,Customs,11,16,4,220,Normal,Normal,VIP,137,False
PF150,2024-03-21 17:34:16,2A,Customs,41,18,2,204,Evening_Peak,Emergency,EU_Citizen,53,False
PF151,2024-03-16 07:12:33,2B,Customs,118,40,1,99,Morning_Rush,System_Down,Crew,94,False
PF152,2024-03-19 12:43:43,2D,Immigration_EU,37,13,2,81,Normal,Normal,Crew,213,False
PF153,2024-03-19 19:42:52,2E,Customs,27,16,2,220,Evening_Peak,Normal,EU_Citizen,114,False
PF154,2024-03-16 21:44:19,2B,Immigration_EU,35,12,2,82,Night,Emergency,VIP,190,False
PF155,2024-03-16 11:42:55,2E,Immigration_NonEU,2,8,3,57,Normal,Normal,Transit,325,False
PF156,2024-03-20 12:32:39,2A,Security,3,5,3,111,Normal,Normal,VIP,64,False
PF157,2024-03-15 09:29:44,3,Immigration_NonEU,20,15,4,87,Normal,Normal,Crew,259,False
PF158,2024-03-19 11:17:21,2A,Security,4,2,6,109,Normal,Normal,Transit,106,False
PF159,2024-03-20 03:47:52,3,Security,1,8,7,75,Night,Normal,EU_Citizen,47,False
PF160,2024-03-20 01:37:19,1,Immigration_EU,18,7,3,91,Night,Normal,Transit,255,False
PF161,2024-03-15 03:11:39,3,Security,8,8,4,91,Night,Normal,Transit,45,False
PF162,2024-03-20 23:54:14,2C,Immigration_NonEU,1,5,2,51,Night,Normal,Non_EU,132,False
PF163,2024-03-20 13:16:22,2E,Security,7,12,3,66,Normal,Normal,VIP,62,False
PF164,2024-03-16 12:46:55,2E,Customs,11,3,3,149,Normal,Normal,EU_Citizen,158,False
PF165,2024-03-17 09:09:25,2D,Security,15,14,4,131,Normal,Normal,Non_EU,86,False
PF166,2024-03-21 02:22:31,2B,Customs,25,12,4,86,Night,Normal,EU_Citizen,149,False
PF167,2024-03-17 11:10:40,2C,Baggage_Claim,18,13,1,161,Normal,Normal,VIP,109,False
PF168,2024-03-17 04:04:38,1,Immigration_EU,24,17,3,83,Night,Normal,Non_EU,353,False
PF169,2024-03-17 13:16:05,2F,Immigration_NonEU,16,9,1,89,Normal,Normal,VIP,270,False
PF170,2024-03-15 07:54:26,3,Baggage_Claim,46,27,4,118,Morning_Rush,Normal,Non_EU,88,False
PF171,2024-03-21 04:44:25,2F,Immigration_NonEU,12,5,1,65,Night,Normal,VIP,314,False
PF172,2024-03-15 00:32:19,2E,Immigration_NonEU,34,14,3,75,Night,Normal,EU_Citizen,127,False
PF173,2024-03-21 00:46:02,2E,Immigration_NonEU,15,8,4,95,Night,Normal,EU_Citizen,177,False
PF174,2024-03-20 17:05:47,2F,Security,81,38,3,110,Evening_Peak,Normal,VIP,38,False
PF175,2024-03-20 07:49:05,1,Security,114,45,5,135,Morning_Rush,Normal,Transit,98,False
PF176,2024-03-20 14:33:06,2D,Customs,23,7,3,194,Normal,Normal,Transit,78,False
PF177,2024-03-19 07:59:35,2E,Immigration_EU,103,34,4,50,Morning_Rush,Normal,Non_EU,212,False
PF178,2024-03-19 06:27:14,2D,Security,25,14,4,139,Morning_Rush,Normal,VIP,41,False
PF179,2024-03-19 22:16:23,2A,Security,23,7,4,104,Night,Normal,Transit,57,False
PF180,2024-03-20 21:11:17,2F,Customs,20,7,4,135,Night,Normal,EU_Citizen,51,False
PF181,2024-03-15 06:05:26,2D,Immigration_NonEU,23,7,2,62,Morning_Rush,Normal,Non_EU,235,False
PF182,2024-03-18 06:30:20,2E,Immigration_NonEU,38,18,1,61,Morning_Rush,Normal,EU_Citizen,289,False
PF183,2024-03-16 10:03:57,2A,Immigration_EU,12,14,4,98,Normal,VIP_Movement,VIP,62,False
PF184,2024-03-17 05:47:20,2A,Immigration_EU,111,42,1,80,Morning_Rush,Normal,Transit,296,False
PF185,2024-03-17 15:00:59,2B,Customs,8,3,4,151,Normal,Normal,Non_EU,155,False
PF186,2024-03-16 06:54:58,2C,Baggage_Claim,50,18,3,170,Morning_Rush,Normal,EU_Citizen,52,False
PF187,2024-03-20 07:43:21,3,Immigration_EU,53,20,3,59,Morning_Rush,Normal,EU_Citizen,176,False
PF188,2024-03-21 15:13:12,2E,Immigration_NonEU,12,16,4,72,Normal,Normal,Non_EU,117,False
PF189,2024-03-19 20:28:56,1,Baggage_Claim,90,43,2,202,Evening_Peak,Normal,Crew,117,False
PF190,2024-03-18 17:02:23,1,Security,88,38,7,89,Evening_Peak,Normal,EU_Citizen,55,False
PF191,2024-03-17 13:13:00,2B,Immigration_NonEU,19,11,1,80,Normal,Strike,Transit,211,False
PF192,2024-03-15 02:30:07,2D,Customs,16,19,2,117,Night,Normal,Crew,67,False
PF193,2024-03-17 20:28:13,1,Immigration_EU,97,40,2,97,Evening_Peak,Normal,Crew,103,False
PF194,2024-03-18 11:08:31,2E,Security,21,18,7,125,Normal,Normal,EU_Citizen,41,False
PF195,2024-03-16 06:36:01,2F,Customs,49,18,1,96,Morning_Rush,Normal,Transit,121,False
PF196,2024-03-21 09:01:21,2B,Security,5,7,7,92,Normal,Normal,Crew,72,False
PF197,2024-03-16 18:01:42,2D,Baggage_Claim,42,16,3,237,Evening_Peak,Normal,Crew,101,False
PF198,2024-03-19 06:54:17,2C,Immigration_NonEU,41,21,2,77,Morning_Rush,Normal,EU_Citizen,232,False
PF199,2024-03-18 06:54:21,3,Immigration_EU,39,14,4,72,Morning_Rush,Normal,Transit,197,False
PF200,2024-03-17 19:45:18,1,Security,102,36,5,112,Evening_Peak,Normal,Crew,71,False
PF201,2024-03-17 00:53:18,2E,Baggage_Claim,33,11,2,179,Night,Normal,Non_EU,86,False
PF202,2024-03-19 12:36:52,2A,Baggage_Claim,31,13,4,231,Normal,Normal,Crew,83,False
PF203,2024-03-17 06:51:54,2F,Baggage_Claim,93,45,2,85,Morning_Rush,Normal,VIP,69,False
PF204,2024-03-20 17:02:15,3,Security,57,24,3,117,Evening_Peak,Normal,VIP,116,False
PF205,2024-03-21 08:49:56,2F,Security,78,38,6,106,Morning_Rush,Normal,Transit,33,False
PF206,2024-03-15 11:50:02,2B,Customs,6,6,1,117,Normal,Normal,Crew,110,False
PF207,2024-03-15 07:36:21,2E,Customs,119,53,3,203,Morning_Rush,Normal,VIP,62,False
PF208,2024-03-20 23:26:02,1,Baggage_Claim,17,19,4,150,Night,Normal,Crew,101,False
PF209,2024-03-18 05:00:53,2A,Baggage_Claim,31,17,1,210,Morning_Rush,Normal,EU_Citizen,59,False
PF210,2024-03-15 07:16:05,2F,Immigration_NonEU,89,31,4,96,Morning_Rush,Normal,Crew,211,False
PF211,2024-03-21 08:43:26,3,Customs,25,15,3,87,Morning_Rush,Normal,Crew,140,False
PF212,2024-03-19 05:57:25,3,Immigration_EU,106,48,4,63,Morning_Rush,Normal,Transit,111,False
PF213,2024-03-19 02:49:25,2B,Immigration_EU,24,10,4,96,Night,Normal,Non_EU,216,False
PF214,2024-03-17 13:00:43,3,Customs,9,8,3,148,Normal,Normal,Transit,70,False
PF215,2024-03-18 12:44:04,2D,Immigration_NonEU,12,14,4,84,Normal,Normal,Transit,316,False
PF216,2024-03-18 12:01:38,2C,Customs,37,14,4,118,Normal,Normal,Transit,116,False
PF217,2024-03-21 17:32:52,2A,Customs,63,29,4,178,Evening_Peak,Normal,Transit,151,False
PF218,2024-03-15 23:16:44,2B,Immigration_EU,38,17,4,78,Night,Normal,VIP,304,False
PF219,2024-03-21 07:59:18,2F,Immigration_EU,83,36,1,92,Morning_Rush,Normal,Non_EU,110,False
PF220,2024-03-19 02:48:37,2B,Immigration_EU,33,23,2,77,Night,Normal,Crew,98,False
PF221,2024-03-18 02:36:58,2D,Immigration_EU,16,19,1,63,Night,Normal,Non_EU,342,False
PF222,2024-03-15 13:27:58,2C,Baggage_Claim,10,4,3,87,Normal,System_Down,VIP,96,False
PF223,2024-03-19 19:49:26,2B,Customs,40,24,3,183,Evening_Peak,Normal,VIP,72,False
PF224,2024-03-19 22:54:47,1,Customs,26,11,1,82,Night,Normal,Crew,98,False
PF225,2024-03-19 11:13:46,3,Immigration_EU,39,14,2,66,Normal,Normal,EU_Citizen,105,False
PF226,2024-03-21 08:38:31,3,Customs,79,34,1,122,Morning_Rush,Normal,Transit,152,False
PF227,2024-03-15 21:32:45,1,Baggage_Claim,21,12,2,169,Night,Normal,Non_EU,145,False
PF228,2024-03-15 20:25:22,2B,Customs,69,27,2,227,Evening_Peak,Normal,EU_Citizen,142,False
PF229,2024-03-18 05:14:39,3,Immigration_EU,114,40,1,71,Morning_Rush,Normal,Transit,253,False
PF230,2024-03-18 22:16:22,3,Immigration_EU,26,17,4,44,Night,Normal,VIP,275,False
PF231,2024-03-16 14:09:15,2D,Security,12,17,2,139,Normal,Normal,EU_Citizen,88,False
PF232,2024-03-17 20:21:09,2E,Baggage_Claim,45,20,1,176,Evening_Peak,Normal,Transit,124,False
PF233,2024-03-15 23:41:46,2A,Security,37,14,5,133,Night,Normal,Non_EU,54,False
PF234,2024-03-21 00:10:36,2B,Baggage_Claim,29,14,1,182,Night,Normal,VIP,93,False
PF235,2024-03-15 22:46:43,1,Immigration_NonEU,15,11,1,48,Night,Normal,Crew,134,False
PF236,2024-03-21 22:59:56,2B,Security,28,13,4,74,Night,Normal,VIP,32,False
PF237,2024-03-14 23:23:00,2F,Security,5,15,3,61,Night,Normal,VIP,51,False
PF238,2024-03-17 02:20:54,1,Security,8,13,6,60,Night,Normal,VIP,56,False
PF239,2024-03-20 14:22:33,2D,Security,31,12,6,131,Normal,Normal,Transit,91,False
PF240,2024-03-19 22:46:18,2C,Immigration_NonEU,13,5,2,48,Night,Normal,Crew,207,False
PF241,2024-03-16 03:48:47,1,Immigration_NonEU,16,13,3,45,Night,Normal,Non_EU,71,False
PF242,2024-03-17 20:44:56,2E,Immigration_EU,63,25,1,51,Evening_Peak,Normal,EU_Citizen,176,False
PF243,2024-03-21 08:29:33,1,Baggage_Claim,82,28,1,232,Morning_Rush,Normal,EU_Citizen,60,False
PF244,2024-03-20 06:05:30,2E,Baggage_Claim,117,52,2,189,Morning_Rush,Normal,Non_EU,93,False
PF245,2024-03-16 00:06:47,2B,Security,21,12,7,99,Night,Normal,Transit,49,False
PF246,2024-03-16 00:08:49,3,Security,20,19,3,69,Night,Strike,Transit,104,False
PF247,2024-03-15 19:40:25,1,Immigration_EU,76,30,4,45,Evening_Peak,Normal,EU_Citizen,359,False
PF248,2024-03-15 15:50:13,3,Customs,14,7,4,206,Normal,System_Down,Crew,116,False
PF249,2024-03-21 17:02:47,2C,Immigration_EU,37,15,3,83,Evening_Peak,Normal,Crew,165,False
PF250,2024-03-17 18:35:34,2C,Baggage_Claim,102,42,4,100,Evening_Peak,Normal,EU_Citizen,69,False
PF251,2024-03-19 22:53:19,3,Customs,12,14,4,183,Night,Normal,Crew,149,False
PF252,2024-03-16 10:32:09,1,Security,26,22,5,61,Normal,Normal,Non_EU,110,False
PF253,2024-03-17 05:39:39,2D,Immigration_EU,79,31,3,54,Morning_Rush,Strike,Crew,153,False
PF254,2024-03-20 09:13:30,2A,Immigration_EU,1,10,3,93,Normal,Strike,Transit,94,False
PF255,2024-03-19 13:59:04,2C,Baggage_Claim,24,22,2,117,Normal,Normal,Crew,47,False
PF256,2024-03-21 19:45:56,2F,Immigration_NonEU,35,19,4,80,Evening_Peak,Normal,VIP,88,False
PF257,2024-03-15 07:59:25,1,Customs,60,26,4,123,Morning_Rush,Normal,VIP,48,False
PF258,2024-03-15 07:38:52,2B,Baggage_Claim,55,19,4,209,Morning_Rush,Normal,Transit,90,False
PF259,2024-03-20 21:27:55,1,Immigration_NonEU,18,12,2,89,Night,Normal,VIP,323,False
PF260,2024-03-17 23:42:00,2E,Baggage_Claim,2,8,4,144,Night,Normal,VIP,130,False
PF261,2024-03-17 03:23:00,2D,Immigration_NonEU,36,16,3,88,Night,Normal,Transit,255,False
