Transaction_ID,Date_Time,Revenue_Stream,Amount_EUR,Flight_Reference,Terminal,Passenger_Count,Revenue_Per_Passenger,Payment_Method,Currency_Original,Exchange_Rate,Cost_Category,Synthetic_Data
FIN030,2024-03-18 07:15:54,Car_Rental,66,,External,,66.0,Cash,GBP,1.133,Direct_Operational,False
FIN031,2024-03-20 16:38:07,Car_Rental,105,,External,,105.0,Credit_Card,EUR,1.0,Administrative,False
FIN032,2024-03-21 06:19:02,Hotel_Commission,42,,2D,,42.0,Airline_Invoice,USD,0.855,Marketing,False
FIN033,2024-03-18 15:53:05,Duty_Free,65,,2B,,65.0,Cash,GBP,0.901,Marketing,False
FIN034,2024-03-17 14:26:32,Hotel_Commission,106,,2E,,106.0,Airline_Invoice,JPY,1.074,Direct_Operational,False
FIN035,2024-03-19 16:30:43,Duty_Free,154,,1,,154.0,Credit_Card,USD,1.006,Direct_Operational,False
FIN036,2024-03-20 19:46:42,Hotel_Commission,90,,2A,,90.0,Airline_Invoice,JPY,0.964,Indirect_Operational,False
FIN037,2024-03-19 10:12:23,Food_Beverage,31,,3,,31.0,Cash,JPY,1.056,Direct_Operational,False
FIN038,2024-03-18 06:20:24,Food_Beverage,59,,1,,59.0,Commission,USD,1.133,Direct_Operational,False
FIN039,2024-03-17 13:44:17,Duty_Free,139,,External,,139.0,Cash,GBP,0.91,Marketing,False
FIN040,2024-03-21 15:10:06,Retail_Commission,91,,2F,,91.0,Credit_Card,GBP,1.008,Indirect_Operational,False
FIN041,2024-03-15 07:14:09,Parking_Fees,43,CDG209,External,261.0,0.16,Airline_Invoice,EUR,1.0,Indirect_Operational,False
FIN042,2024-03-20 22:32:33,Duty_Free,190,,2E,,190.0,Credit_Card,USD,0.999,Indirect_Operational,False
FIN043,2024-03-19 21:36:36,Parking_Fees,11,CDG259,2E,497.0,0.02,Commission,USD,1.064,Administrative,False
FIN044,2024-03-20 15:43:43,Landing_Fees,6093,CDG138,2F,349.0,17.46,Commission,JPY,1.148,Direct_Operational,False
FIN045,2024-03-21 01:32:06,Hotel_Commission,116,,2B,,116.0,Commission,EUR,1.0,Direct_Operational,False
FIN046,2024-03-15 23:24:04,Parking_Fees,30,CDG336,3,407.0,0.07,Commission,GBP,1.122,Administrative,False
FIN047,2024-03-20 07:51:07,Car_Rental,21,,2C,,21.0,Cash,USD,1.048,Marketing,False
FIN048,2024-03-18 09:44:02,Food_Beverage,83,,2A,,83.0,Commission,EUR,1.0,Indirect_Operational,False
FIN049,2024-03-21 04:10:42,Food_Beverage,104,,2A,,104.0,Airline_Invoice,JPY,1.073,Direct_Operational,False
FIN050,2024-03-17 21:15:14,Car_Rental,73,,2A,,73.0,Commission,USD,1.014,Direct_Operational,False
FIN051,2024-03-17 14:46:30,Hotel_Commission,94,,1,,94.0,Commission,JPY,0.853,Administrative,False
FIN052,2024-03-17 06:47:40,Duty_Free,99,,2C,,99.0,Airline_Invoice,GBP,1.012,Direct_Operational,False
FIN053,2024-03-19 02:37:44,Duty_Free,32,,2C,,32.0,Airline_Invoice,USD,0.937,Indirect_Operational,False
FIN054,2024-03-18 16:49:12,Parking_Fees,43,CDG357,2D,328.0,0.13,Commission,EUR,1.0,Administrative,False
FIN055,2024-03-17 18:14:12,Car_Rental,65,,3,,65.0,Credit_Card,JPY,1.036,Administrative,False
FIN056,2024-03-15 00:01:03,Car_Rental,74,,2D,,74.0,Credit_Card,GBP,0.948,Administrative,False
FIN057,2024-03-19 13:43:31,Duty_Free,27,,2E,,27.0,Credit_Card,EUR,1.0,Administrative,False
FIN058,2024-03-19 11:12:14,Duty_Free,99,,2D,,99.0,Commission,GBP,0.89,Indirect_Operational,False
FIN059,2024-03-18 09:10:36,Duty_Free,19,,2B,,19.0,Commission,USD,1.119,Direct_Operational,False
FIN060,2024-03-20 02:53:15,Landing_Fees,2101,CDG304,2C,170.0,12.36,Cash,USD,0.868,Marketing,False
FIN061,2024-03-18 01:34:42,Car_Rental,78,,2B,,78.0,Commission,GBP,1.126,Direct_Operational,False
FIN062,2024-03-20 19:04:15,Duty_Free,94,,External,,94.0,Credit_Card,USD,0.997,Direct_Operational,False
FIN063,2024-03-18 17:27:28,Car_Rental,87,,2D,,87.0,Airline_Invoice,USD,1.133,Direct_Operational,False
FIN064,2024-03-16 02:28:31,Retail_Commission,80,,2D,,80.0,Credit_Card,JPY,0.961,Indirect_Operational,False
FIN065,2024-03-18 07:35:34,Parking_Fees,40,CDG433,2E,451.0,0.09,Credit_Card,GBP,0.879,Indirect_Operational,False
FIN066,2024-03-17 18:31:54,Hotel_Commission,34,,2F,,34.0,Credit_Card,USD,1.002,Marketing,False
FIN067,2024-03-15 07:17:51,Landing_Fees,7175,CDG158,2E,380.0,18.88,Cash,JPY,1.007,Marketing,False
FIN068,2024-03-16 03:01:50,Retail_Commission,14,,2D,,14.0,Cash,EUR,1.0,Administrative,False
FIN069,2024-03-21 06:04:53,Landing_Fees,4279,CDG489,3,181.0,23.64,Credit_Card,JPY,1.001,Indirect_Operational,False
FIN070,2024-03-21 21:03:32,Hotel_Commission,35,,2A,,35.0,Airline_Invoice,EUR,1.0,Marketing,False
FIN071,2024-03-19 22:12:04,Duty_Free,112,,2A,,112.0,Cash,JPY,1.092,Direct_Operational,False
FIN072,2024-03-19 12:24:07,Food_Beverage,99,,2D,,99.0,Commission,USD,0.934,Marketing,False
FIN073,2024-03-21 21:54:05,Duty_Free,57,,2E,,57.0,Airline_Invoice,USD,1.088,Administrative,False
FIN074,2024-03-18 07:39:55,Hotel_Commission,22,,2A,,22.0,Credit_Card,JPY,0.981,Administrative,False
FIN075,2024-03-18 04:11:58,Parking_Fees,35,CDG187,2E,315.0,0.11,Credit_Card,USD,1.037,Marketing,False
FIN076,2024-03-16 06:30:45,Landing_Fees,7421,CDG257,2D,377.0,19.68,Credit_Card,GBP,0.948,Marketing,False
FIN077,2024-03-17 11:03:48,Hotel_Commission,53,,1,,53.0,Airline_Invoice,GBP,0.923,Indirect_Operational,False
FIN078,2024-03-18 19:10:39,Duty_Free,24,,2C,,24.0,Airline_Invoice,GBP,1.072,Administrative,False
FIN079,2024-03-15 08:30:34,Car_Rental,67,,2B,,67.0,Cash,GBP,0.958,Administrative,False
FIN080,2024-03-21 11:30:06,Hotel_Commission,37,,2E,,37.0,Airline_Invoice,USD,1.04,Direct_Operational,False
FIN081,2024-03-17 16:10:35,Duty_Free,34,,2C,,34.0,Commission,JPY,1.143,Indirect_Operational,False
FIN082,2024-03-18 18:51:03,Retail_Commission,68,,3,,68.0,Airline_Invoice,EUR,1.0,Marketing,False
FIN083,2024-03-20 11:21:17,Car_Rental,61,,1,,61.0,Cash,JPY,0.862,Direct_Operational,False
FIN084,2024-03-16 01:57:08,Car_Rental,22,,2B,,22.0,Credit_Card,USD,1.004,Indirect_Operational,False
FIN085,2024-03-21 04:15:13,Hotel_Commission,51,,External,,51.0,Airline_Invoice,JPY,1.122,Direct_Operational,False
FIN086,2024-03-20 08:11:32,Parking_Fees,47,CDG187,2A,319.0,0.15,Cash,GBP,1.106,Marketing,False
FIN087,2024-03-18 21:38:53,Car_Rental,21,,2D,,21.0,Cash,JPY,1.095,Marketing,False
FIN088,2024-03-18 05:39:44,Landing_Fees,1336,CDG228,2C,188.0,7.11,Credit_Card,JPY,1.037,Indirect_Operational,False
FIN089,2024-03-21 04:53:09,Car_Rental,38,,2E,,38.0,Airline_Invoice,GBP,1.098,Administrative,False
FIN090,2024-03-17 22:58:48,Duty_Free,149,,1,,149.0,Airline_Invoice,GBP,0.937,Administrative,False
FIN091,2024-03-16 10:50:55,Duty_Free,35,,External,,35.0,Airline_Invoice,JPY,1.033,Indirect_Operational,False
FIN092,2024-03-21 01:37:48,Car_Rental,42,,2D,,42.0,Credit_Card,GBP,1.106,Administrative,False
FIN093,2024-03-15 07:10:00,Landing_Fees,8016,CDG372,2A,513.0,15.63,Airline_Invoice,EUR,1.0,Marketing,False
FIN094,2024-03-15 06:04:14,Landing_Fees,7246,CDG68,External,214.0,33.86,Commission,JPY,0.977,Direct_Operational,False
FIN095,2024-03-17 02:17:33,Hotel_Commission,118,,3,,118.0,Airline_Invoice,GBP,0.91,Direct_Operational,False
FIN096,2024-03-19 22:56:36,Retail_Commission,6,,2E,,6.0,Airline_Invoice,USD,0.938,Administrative,False
FIN097,2024-03-15 14:07:27,Retail_Commission,124,,2B,,124.0,Cash,GBP,0.954,Direct_Operational,False
FIN098,2024-03-19 10:29:53,Car_Rental,43,,External,,43.0,Cash,USD,0.958,Administrative,False
FIN099,2024-03-19 05:32:48,Food_Beverage,106,,2D,,106.0,Cash,GBP,1.12,Indirect_Operational,False
FIN100,2024-03-20 06:20:54,Landing_Fees,3958,CDG309,2E,217.0,18.24,Commission,EUR,1.0,Administrative,False
FIN101,2024-03-21 04:00:11,Retail_Commission,29,,2B,,29.0,Cash,EUR,1.0,Marketing,False
FIN102,2024-03-17 22:58:09,Car_Rental,45,,External,,45.0,Credit_Card,USD,0.978,Administrative,False
FIN103,2024-03-16 05:23:19,Retail_Commission,24,,1,,24.0,Cash,GBP,1.097,Direct_Operational,False
FIN104,2024-03-21 04:58:37,Car_Rental,42,,2E,,42.0,Cash,JPY,1.147,Administrative,False
FIN105,2024-03-17 10:35:58,Car_Rental,26,,2E,,26.0,Airline_Invoice,EUR,1.0,Direct_Operational,False
FIN106,2024-03-16 01:35:17,Parking_Fees,16,CDG424,External,367.0,0.04,Commission,JPY,1.027,Administrative,False
FIN107,2024-03-19 16:54:28,Hotel_Commission,29,,2A,,29.0,Commission,JPY,1.003,Marketing,False
FIN108,2024-03-19 04:59:20,Duty_Free,213,,2A,,213.0,Airline_Invoice,GBP,1.104,Administrative,False
FIN109,2024-03-20 13:50:34,Landing_Fees,5675,CDG482,2D,336.0,16.89,Commission,GBP,1.145,Indirect_Operational,False
FIN110,2024-03-19 16:19:50,Landing_Fees,5681,CDG340,1,415.0,13.69,Airline_Invoice,EUR,1.0,Indirect_Operational,False
FIN111,2024-03-15 20:39:51,Duty_Free,207,,2C,,207.0,Commission,EUR,1.0,Administrative,False
FIN112,2024-03-21 09:12:14,Landing_Fees,6061,CDG360,External,357.0,16.98,Cash,GBP,0.96,Marketing,False
FIN113,2024-03-15 13:30:07,Food_Beverage,46,,2D,,46.0,Commission,USD,1.07,Marketing,False
FIN114,2024-03-16 08:33:30,Landing_Fees,3967,CDG235,2A,144.0,27.55,Airline_Invoice,GBP,1.098,Administrative,False
FIN115,2024-03-21 12:43:09,Car_Rental,98,,3,,98.0,Credit_Card,GBP,1.149,Administrative,False
FIN116,2024-03-16 01:09:50,Duty_Free,62,,2A,,62.0,Commission,JPY,0.98,Indirect_Operational,False
FIN117,2024-03-21 04:20:31,Parking_Fees,49,CDG243,3,165.0,0.3,Airline_Invoice,USD,1.116,Administrative,False
FIN118,2024-03-17 16:53:06,Duty_Free,41,,1,,41.0,Airline_Invoice,USD,0.966,Indirect_Operational,False
FIN119,2024-03-19 01:05:16,Food_Beverage,112,,2D,,112.0,Commission,GBP,1.01,Marketing,False
FIN120,2024-03-16 16:52:51,Landing_Fees,2987,CDG57,2B,124.0,24.09,Airline_Invoice,EUR,1.0,Marketing,False
FIN121,2024-03-15 17:27:42,Duty_Free,166,,2E,,166.0,Airline_Invoice,GBP,0.899,Indirect_Operational,False
FIN122,2024-03-21 16:01:18,Landing_Fees,6294,CDG294,2D,418.0,15.06,Credit_Card,EUR,1.0,Administrative,False
FIN123,2024-03-19 08:39:27,Retail_Commission,8,,2C,,8.0,Credit_Card,EUR,1.0,Marketing,False
FIN124,2024-03-18 12:31:37,Car_Rental,58,,2E,,58.0,Commission,EUR,1.0,Administrative,False
FIN125,2024-03-21 11:26:56,Duty_Free,193,,1,,193.0,Commission,EUR,1.0,Administrative,False
FIN126,2024-03-15 14:08:32,Parking_Fees,50,CDG97,2F,244.0,0.2,Cash,JPY,0.979,Marketing,False
FIN127,2024-03-20 12:15:25,Retail_Commission,72,,2B,,72.0,Cash,JPY,1.084,Indirect_Operational,False
FIN128,2024-03-18 15:00:12,Parking_Fees,51,CDG414,2A,332.0,0.15,Airline_Invoice,JPY,0.919,Indirect_Operational,False
FIN129,2024-03-18 11:28:48,Hotel_Commission,96,,2B,,96.0,Commission,JPY,1.094,Indirect_Operational,False
FIN130,2024-03-18 11:12:54,Duty_Free,128,,3,,128.0,Cash,JPY,1.019,Administrative,False
FIN131,2024-03-17 15:07:03,Parking_Fees,25,CDG396,2D,333.0,0.08,Airline_Invoice,USD,0.934,Indirect_Operational,False
FIN132,2024-03-21 12:02:05,Food_Beverage,37,,2F,,37.0,Commission,EUR,1.0,Indirect_Operational,False
FIN133,2024-03-20 17:46:01,Duty_Free,212,,2F,,212.0,Commission,GBP,0.965,Administrative,False
FIN134,2024-03-19 08:30:44,Duty_Free,169,,2A,,169.0,Cash,EUR,1.0,Marketing,False
FIN135,2024-03-16 05:10:21,Duty_Free,126,,2A,,126.0,Cash,EUR,1.0,Indirect_Operational,False
FIN136,2024-03-20 13:14:57,Hotel_Commission,103,,2A,,103.0,Credit_Card,USD,1.061,Marketing,False
FIN137,2024-03-16 19:35:17,Car_Rental,51,,2A,,51.0,Credit_Card,USD,1.047,Administrative,False
FIN138,2024-03-17 02:52:55,Car_Rental,21,,3,,21.0,Cash,EUR,1.0,Administrative,False
FIN139,2024-03-16 15:28:59,Food_Beverage,42,,2F,,42.0,Commission,GBP,1.091,Direct_Operational,False
FIN140,2024-03-19 10:30:26,Landing_Fees,2598,CDG157,2F,238.0,10.92,Cash,USD,1.002,Marketing,False
FIN141,2024-03-15 14:54:09,Retail_Commission,97,,1,,97.0,Cash,GBP,0.921,Marketing,False
FIN142,2024-03-17 14:45:08,Retail_Commission,129,,2C,,129.0,Credit_Card,GBP,0.974,Direct_Operational,False
FIN143,2024-03-21 12:55:37,Hotel_Commission,75,,2C,,75.0,Credit_Card,GBP,0.947,Indirect_Operational,False
FIN144,2024-03-17 06:54:08,Parking_Fees,58,CDG393,1,502.0,0.12,Airline_Invoice,EUR,1.0,Indirect_Operational,False
FIN145,2024-03-19 14:17:44,Landing_Fees,5309,CDG279,2B,301.0,17.64,Cash,JPY,0.913,Administrative,False
FIN146,2024-03-20 12:53:01,Retail_Commission,54,,2E,,54.0,Commission,GBP,0.857,Direct_Operational,False
FIN147,2024-03-17 13:34:50,Parking_Fees,48,CDG266,2F,389.0,0.12,Cash,GBP,0.91,Marketing,False
FIN148,2024-03-15 19:26:04,Landing_Fees,5367,CDG134,2C,219.0,24.51,Airline_Invoice,USD,1.083,Indirect_Operational,False
FIN149,2024-03-16 15:12:59,Parking_Fees,20,CDG1,2F,444.0,0.05,Cash,GBP,0.889,Direct_Operational,False
FIN150,2024-03-20 18:06:13,Duty_Free,59,,1,,59.0,Cash,GBP,0.984,Administrative,False
FIN151,2024-03-16 16:37:26,Food_Beverage,72,,2C,,72.0,Airline_Invoice,GBP,0.895,Marketing,False
FIN152,2024-03-17 02:36:57,Hotel_Commission,105,,External,,105.0,Cash,GBP,0.851,Direct_Operational,False
FIN153,2024-03-19 16:51:17,Duty_Free,115,,2D,,115.0,Cash,USD,1.013,Administrative,False
FIN154,2024-03-17 13:32:03,Hotel_Commission,32,,2C,,32.0,Commission,JPY,1.1,Marketing,False
FIN155,2024-03-17 07:43:47,Retail_Commission,103,,2C,,103.0,Airline_Invoice,JPY,0.916,Indirect_Operational,False
FIN156,2024-03-15 22:47:14,Duty_Free,191,,2A,,191.0,Commission,USD,0.911,Direct_Operational,False
FIN157,2024-03-17 21:31:54,Car_Rental,43,,1,,43.0,Commission,USD,1.071,Indirect_Operational,False
FIN158,2024-03-16 19:50:18,Parking_Fees,11,CDG152,2D,184.0,0.06,Credit_Card,USD,1.047,Direct_Operational,False
FIN159,2024-03-16 07:44:36,Hotel_Commission,40,,2F,,40.0,Commission,JPY,0.899,Direct_Operational,False
FIN160,2024-03-16 02:26:43,Food_Beverage,98,,1,,98.0,Airline_Invoice,USD,0.909,Marketing,False
FIN161,2024-03-19 07:43:42,Parking_Fees,35,CDG252,2B,509.0,0.07,Credit_Card,JPY,1.124,Marketing,False
FIN162,2024-03-21 13:48:07,Food_Beverage,97,,2B,,97.0,Airline_Invoice,JPY,0.863,Marketing,False
FIN163,2024-03-20 09:57:44,Duty_Free,203,,2A,,203.0,Cash,GBP,0.857,Indirect_Operational,False
FIN164,2024-03-20 22:32:20,Landing_Fees,2237,CDG101,2F,323.0,6.93,Commission,JPY,1.025,Marketing,False
FIN165,2024-03-17 18:02:32,Retail_Commission,116,,2E,,116.0,Cash,USD,0.941,Administrative,False
FIN166,2024-03-17 19:31:19,Parking_Fees,47,CDG45,1,287.0,0.16,Commission,GBP,0.911,Administrative,False
FIN167,2024-03-17 14:55:39,Retail_Commission,92,,2A,,92.0,Airline_Invoice,JPY,0.856,Marketing,False
FIN168,2024-03-19 16:56:57,Retail_Commission,18,,2F,,18.0,Cash,USD,1.137,Administrative,False
FIN169,2024-03-21 00:01:28,Landing_Fees,5989,CDG269,2E,305.0,19.64,Commission,JPY,1.102,Administrative,False
FIN170,2024-03-16 18:28:56,Parking_Fees,21,CDG112,2C,388.0,0.05,Commission,GBP,0.899,Marketing,False
FIN171,2024-03-18 14:53:53,Food_Beverage,49,,3,,49.0,Commission,USD,1.087,Direct_Operational,False
FIN172,2024-03-15 06:06:57,Retail_Commission,47,,2B,,47.0,Commission,JPY,0.864,Administrative,False
FIN173,2024-03-18 08:08:18,Retail_Commission,13,,External,,13.0,Cash,USD,1.033,Marketing,False
FIN174,2024-03-16 06:48:35,Retail_Commission,127,,2C,,127.0,Commission,EUR,1.0,Marketing,False
FIN175,2024-03-17 04:33:25,Duty_Free,126,,2A,,126.0,Airline_Invoice,GBP,1.087,Administrative,False
FIN176,2024-03-15 14:02:00,Landing_Fees,4930,CDG429,2A,430.0,11.47,Airline_Invoice,USD,1.13,Indirect_Operational,False
FIN177,2024-03-18 23:07:25,Duty_Free,89,,External,,89.0,Airline_Invoice,JPY,1.099,Direct_Operational,False
FIN178,2024-03-18 13:36:28,Parking_Fees,35,CDG403,2F,480.0,0.07,Airline_Invoice,JPY,0.902,Administrative,False
FIN179,2024-03-16 23:15:34,Landing_Fees,8234,CDG463,2D,148.0,55.64,Credit_Card,JPY,1.035,Indirect_Operational,False
FIN180,2024-03-16 22:14:46,Hotel_Commission,22,,2F,,22.0,Commission,EUR,1.0,Administrative,False
FIN181,2024-03-19 03:21:09,Retail_Commission,77,,2F,,77.0,Credit_Card,EUR,1.0,Administrative,False
FIN182,2024-03-21 12:21:08,Food_Beverage,97,,2E,,97.0,Credit_Card,USD,0.962,Marketing,False
FIN183,2024-03-16 07:00:22,Car_Rental,57,,2A,,57.0,Credit_Card,EUR,1.0,Marketing,False
FIN184,2024-03-16 02:27:06,Parking_Fees,33,CDG438,3,319.0,0.1,Commission,GBP,0.936,Direct_Operational,False
FIN185,2024-03-18 22:40:28,Duty_Free,58,,2F,,58.0,Credit_Card,EUR,1.0,Indirect_Operational,False
FIN186,2024-03-21 04:50:30,Retail_Commission,26,,2A,,26.0,Cash,GBP,1.063,Indirect_Operational,False
FIN187,2024-03-18 11:17:04,Landing_Fees,5964,CDG214,1,430.0,13.87,Commission,JPY,1.119,Marketing,False
FIN188,2024-03-19 11:09:57,Duty_Free,55,,External,,55.0,Commission,EUR,1.0,Indirect_Operational,False
FIN189,2024-03-17 18:28:55,Hotel_Commission,40,,2D,,40.0,Commission,USD,1.023,Administrative,False
FIN190,2024-03-16 09:42:04,Retail_Commission,54,,3,,54.0,Commission,GBP,0.875,Direct_Operational,False
FIN191,2024-03-15 05:59:07,Car_Rental,39,,2D,,39.0,Airline_Invoice,GBP,1.066,Indirect_Operational,False
FIN192,2024-03-15 21:19:30,Parking_Fees,46,CDG156,3,354.0,0.13,Airline_Invoice,EUR,1.0,Direct_Operational,False
FIN193,2024-03-16 17:00:51,Landing_Fees,3857,CDG84,2B,248.0,15.55,Credit_Card,JPY,1.053,Marketing,False
FIN194,2024-03-19 13:23:54,Landing_Fees,2411,CDG237,2A,335.0,7.2,Airline_Invoice,GBP,1.029,Indirect_Operational,False
FIN195,2024-03-19 13:25:57,Car_Rental,88,,2B,,88.0,Credit_Card,EUR,1.0,Marketing,False
FIN196,2024-03-20 14:24:26,Car_Rental,44,,2D,,44.0,Cash,EUR,1.0,Marketing,False
FIN197,2024-03-19 01:04:45,Parking_Fees,35,CDG56,3,151.0,0.23,Airline_Invoice,GBP,1.147,Indirect_Operational,False
FIN198,2024-03-19 05:54:33,Retail_Commission,144,,External,,144.0,Commission,EUR,1.0,Direct_Operational,False
FIN199,2024-03-17 12:34:31,Hotel_Commission,86,,2C,,86.0,Airline_Invoice,JPY,1.097,Administrative,False
FIN200,2024-03-17 22:56:41,Car_Rental,74,,External,,74.0,Credit_Card,EUR,1.0,Marketing,False
FIN201,2024-03-15 10:36:36,Parking_Fees,58,CDG184,2F,427.0,0.14,Cash,JPY,1.011,Direct_Operational,False
FIN202,2024-03-20 23:39:05,Retail_Commission,58,,2A,,58.0,Airline_Invoice,USD,0.853,Administrative,False
FIN203,2024-03-15 05:18:15,Car_Rental,50,,2E,,50.0,Airline_Invoice,EUR,1.0,Administrative,False
FIN204,2024-03-15 09:14:17,Parking_Fees,56,CDG343,3,142.0,0.39,Airline_Invoice,GBP,1.106,Indirect_Operational,False
FIN205,2024-03-21 11:36:50,Parking_Fees,14,CDG343,2B,331.0,0.04,Credit_Card,GBP,1.118,Indirect_Operational,False
FIN206,2024-03-19 15:44:51,Landing_Fees,4510,CDG63,2A,459.0,9.83,Cash,GBP,1.127,Direct_Operational,False
FIN207,2024-03-21 11:28:22,Food_Beverage,22,,2C,,22.0,Credit_Card,JPY,1.003,Indirect_Operational,False
FIN208,2024-03-18 17:50:46,Car_Rental,92,,3,,92.0,Airline_Invoice,EUR,1.0,Administrative,False
FIN209,2024-03-18 17:22:49,Hotel_Commission,57,,3,,57.0,Commission,GBP,1.006,Indirect_Operational,False
FIN210,2024-03-15 06:43:12,Car_Rental,74,,2E,,74.0,Cash,EUR,1.0,Direct_Operational,False
FIN211,2024-03-15 13:55:10,Hotel_Commission,22,,External,,22.0,Commission,JPY,1.076,Administrative,False
FIN212,2024-03-20 20:01:25,Parking_Fees,39,CDG151,External,346.0,0.11,Airline_Invoice,EUR,1.0,Administrative,False
FIN213,2024-03-16 12:47:25,Parking_Fees,19,CDG238,2B,501.0,0.04,Credit_Card,USD,0.876,Indirect_Operational,False
FIN214,2024-03-18 17:10:32,Car_Rental,67,,External,,67.0,Cash,USD,1.007,Direct_Operational,False
FIN215,2024-03-17 03:33:14,Landing_Fees,6980,CDG234,2A,464.0,15.04,Airline_Invoice,JPY,1.131,Indirect_Operational,False
FIN216,2024-03-16 01:03:42,Parking_Fees,50,CDG255,2A,181.0,0.28,Credit_Card,EUR,1.0,Indirect_Operational,False
FIN217,2024-03-21 16:10:29,Landing_Fees,2053,CDG474,External,507.0,4.05,Credit_Card,EUR,1.0,Direct_Operational,False
FIN218,2024-03-17 06:05:40,Hotel_Commission,65,,2D,,65.0,Credit_Card,GBP,1.128,Indirect_Operational,False
FIN219,2024-03-19 04:03:54,Landing_Fees,8022,CDG470,2C,287.0,27.95,Cash,EUR,1.0,Direct_Operational,False
FIN220,2024-03-20 06:08:57,Food_Beverage,110,,2B,,110.0,Credit_Card,GBP,1.01,Marketing,False
FIN221,2024-03-18 21:59:15,Car_Rental,65,,1,,65.0,Credit_Card,JPY,1.047,Indirect_Operational,False
FIN222,2024-03-15 05:45:08,Car_Rental,100,,2D,,100.0,Credit_Card,JPY,1.021,Marketing,False
FIN223,2024-03-15 10:11:53,Hotel_Commission,103,,2E,,103.0,Airline_Invoice,USD,1.041,Indirect_Operational,False
FIN224,2024-03-18 10:18:30,Car_Rental,53,,2F,,53.0,Credit_Card,EUR,1.0,Direct_Operational,False
